patch_id,neighbor_id,attention_weight
0,1,0.6315789
0,22,0.36842105
1,0,0.2631579
1,2,0.42105263
1,23,0.31578946
2,1,0.42105263
2,3,0.15789473
2,24,0.42105263
3,2,0.31578946
3,4,0.31578946
3,25,0.36842105
4,3,0.2631579
4,5,0.36842105
4,26,0.36842105
5,4,0.31578946
5,6,0.10526316
5,27,0.57894737
6,5,0.42105263
6,7,0.2631579
6,28,0.31578946
7,6,0.2631579
7,8,0.47368422
7,29,0.2631579
8,7,0.2631579
8,9,0.42105263
8,30,0.31578946
9,8,0.2631579
9,10,0.36842105
9,31,0.36842105
10,9,0.21052632
10,11,0.36842105
10,32,0.42105263
11,10,0.31578946
11,12,0.36842105
11,33,0.31578946
12,11,0.31578946
12,13,0.42105263
12,34,0.2631579
13,12,0.21052632
13,14,0.42105263
13,35,0.36842105
14,13,0.47368422
14,15,0.31578946
14,36,0.21052632
15,14,0.47368422
15,16,0.15789473
15,37,0.36842105
16,15,0.47368422
16,17,0.21052632
16,38,0.31578946
17,16,0.42105263
17,18,0.31578946
17,39,0.2631579
18,17,0.36842105
18,19,0.31578946
18,40,0.31578946
19,18,0.31578946
19,20,0.36842105
19,41,0.31578946
20,19,0.31578946
20,21,0.42105263
20,42,0.2631579
21,20,0.42105263
21,43,0.57894737
22,0,0.31578946
22,23,0.42105263
22,44,0.2631579
23,1,0.42105263
23,22,0.10526316
23,24,0.2631579
23,45,0.21052632
24,2,0.31578946
24,23,0.31578946
24,25,0.21052632
24,46,0.15789473
25,3,0.2631579
25,24,0.31578946
25,26,0.15789473
25,47,0.2631579
26,4,0.2631579
26,25,0.21052632
26,27,0.2631579
26,48,0.2631579
27,5,0.2631579
27,26,0.31578946
27,28,0.10526316
27,49,0.31578946
28,6,0.21052632
28,27,0.42105263
28,29,0.21052632
28,50,0.15789473
29,7,0.2631579
29,28,0.31578946
29,30,0.21052632
29,51,0.21052632
30,8,0.2631579
30,29,0.21052632
30,31,0.31578946
30,52,0.21052632
31,9,0.2631579
31,30,0.10526316
31,32,0.2631579
31,53,0.36842105
32,10,0.2631579
32,31,0.15789473
32,33,0.2631579
32,54,0.31578946
33,11,0.21052632
33,32,0.2631579
33,34,0.31578946
33,55,0.21052632
34,12,0.21052632
34,33,0.10526316
34,35,0.2631579
34,56,0.42105263
