patch_id,neighbor_id,attention_weight
0,1,0.7323518
0,22,0.26764825
1,0,0.2133668
1,2,0.5670479
1,23,0.21958527
2,1,0.35962588
2,3,0.3538391
2,24,0.28653505
3,2,0.45465505
3,4,0.25659797
3,25,0.28874698
4,3,0.43845338
4,5,0.2554923
4,26,0.30605432
5,4,0.4038284
5,6,0.30911818
5,27,0.28705338
6,5,0.31559575
6,7,0.37898412
6,28,0.30542013
7,6,0.23654938
7,8,0.31654552
7,29,0.44690514
8,7,0.23503935
8,9,0.46849245
8,30,0.29646817
9,8,0.18645704
9,10,0.42214987
9,31,0.39139315
10,9,0.21269421
10,11,0.4204019
10,32,0.36690387
11,10,0.22960179
11,12,0.44238943
11,33,0.32800874
12,11,0.38003686
12,13,0.36355314
12,34,0.25641003
13,12,0.45762664
13,14,0.26277265
13,35,0.2796007
14,13,0.35671636
14,15,0.3738589
14,36,0.26942474
15,14,0.29141116
15,16,0.4195883
15,37,0.2890005
16,15,0.33714545
16,17,0.38819447
16,38,0.2746601
17,16,0.40973976
17,18,0.2569577
17,39,0.33330256
18,17,0.38189673
18,19,0.34965098
18,40,0.2684523
19,18,0.23674993
19,20,0.47732344
19,41,0.28592667
20,19,0.26262355
20,21,0.433799
20,42,0.30357748
21,20,0.45877323
21,43,0.5412268
22,0,0.33076757
22,23,0.34163937
22,44,0.3275931
23,1,0.35861355
23,22,0.1303748
23,24,0.28742144
23,45,0.2235903
24,2,0.3936185
24,23,0.1525836
24,25,0.24953553
24,46,0.20426236
25,3,0.3111175
25,24,0.25670204
25,26,0.21865125
25,47,0.21352918
26,4,0.2669226
26,25,0.30162537
26,27,0.19082761
26,48,0.2406244
27,5,0.20977783
27,26,0.25623527
27,28,0.20481752
27,49,0.32916942
28,6,0.17285055
28,27,0.16377093
28,29,0.3256061
28,50,0.33777246
29,7,0.20423469
29,28,0.16426829
29,30,0.25443897
29,51,0.37705812
30,8,0.15489917
30,29,0.21889165
30,31,0.32500452
30,52,0.30120468
31,9,0.19467945
31,30,0.12107824
31,32,0.33430296
31,53,0.34993935
32,10,0.21626039
32,31,0.20509444
32,33,0.31400806
32,54,0.26463714
33,11,0.2562638
33,32,0.22663963
33,34,0.17350864
33,55,0.34358793
34,12,0.32148838
34,33,0.2400204
34,35,0.19723365
34,56,0.24125756
35,13,0.24411392
35,34,0.17347914
35,36,0.18087184
35,57,0.40153512
36,14,0.19731441
36,35,0.20475852
36,37,0.18911573
36,58,0.40881136
37,15,0.24335682
37,36,0.17179091
37,38,0.19735736
37,59,0.38749495
38,16,0.2820759
38,37,0.18982565
38,39,0.23491181
38,60,0.29318658
39,17,0.2977428
39,38,0.2064005
39,40,0.21014448
39,61,0.28571215
40,18,0.20147757
40,39,0.2593432
40,41,0.24762014
40,62,0.29155907
41,19,0.2601055
41,40,0.1952648
41,42,0.29055482
41,63,0.2540749
42,20,0.27645123
42,41,0.15594953
42,43,0.3132357
42,64,0.25436348
43,21,0.4097835
43,42,0.27498809
43,65,0.31522837
44,22,0.22204678
44,45,0.37006572
44,66,0.4078875
45,23,0.22889127
45,44,0.21647222
45,46,0.30422038
45,67,0.2504161
46,24,0.3069316
46,45,0.23115183
46,47,0.25129864
46,68,0.21061787
47,25,0.2890948
47,46,0.23315378
47,48,0.22827749
47,69,0.24947394
48,26,0.24681568
48,47,0.23917829
48,49,0.31687856
48,70,0.19712749
49,27,0.17046468
49,48,0.21405652
49,50,0.35342613
49,71,0.26205269
50,28,0.11810108
50,49,0.18741362
50,51,0.26699898
50,72,0.42748633
51,29,0.18436508
51,50,0.18883671
51,52,0.24729335
51,73,0.37950486
52,30,0.120364614
52,51,0.17713019
52,53,0.3444134
52,74,0.35809183
53,31,0.22299312
53,52,0.19813097
53,54,0.2824468
53,75,0.29642907
54,32,0.22901154
54,53,0.2398419
54,55,0.33929583
54,76,0.19185078
55,33,0.27784264
55,54,0.23216808
55,56,0.2796287
55,77,0.21036056
56,34,0.14839628
56,55,0.29105213
56,57,0.34366003
56,78,0.21689154
57,35,0.17564745
57,56,0.21498413
57,58,0.3464156
57,79,0.26295277
58,36,0.13055319
58,57,0.28736916
58,59,0.28859755
58,80,0.2934801
59,37,0.15222378
59,58,0.323684
59,60,0.22836043
59,81,0.2957318
60,38,0.18290102
60,59,0.3492679
60,61,0.24347675
60,82,0.2243543
61,39,0.23544657
61,60,0.28397205
61,62,0.25743774
61,83,0.22314362
62,40,0.20905185
62,61,0.27901575
62,63,0.26468387
62,84,0.24724855
63,41,0.19794847
63,62,0.2344302
63,64,0.31148377
63,85,0.25613758
64,42,0.23749276
64,63,0.20059717
64,65,0.2604939
64,86,0.30141622
65,43,0.3798884
65,64,0.2857973
65,87,0.3343143
66,44,0.30310288
66,67,0.34945816
66,88,0.34743893
67,45,0.24246806
67,66,0.26975018
67,68,0.22248033
67,89,0.26530144
68,46,0.24564417
68,67,0.2016201
68,69,0.2604067
68,90,0.29232907
69,47,0.25363404
69,68,0.21100144
69,70,0.20593147
69,91,0.32943305
70,48,0.23080726
70,69,0.24774837
70,71,0.28275895
70,92,0.23868541
71,49,0.1890377
71,70,0.11556599
71,72,0.42544344
71,93,0.26995292
72,50,0.20795015
72,71,0.14985828
72,73,0.41063938
72,94,0.2315522
73,51,0.16626878
73,72,0.26065207
73,74,0.3301324
73,95,0.24294673
74,52,0.21487314
74,73,0.32037866
74,75,0.31703007
74,96,0.14771807
75,53,0.29432842
75,74,0.29507697
75,76,0.2334666
75,97,0.17712803
76,54,0.27613696
76,75,0.28562346
76,77,0.24468565
76,98,0.19355397
77,55,0.35692534
77,76,0.1979135
77,78,0.27084327
77,99,0.17431791
78,56,0.27293357
78,77,0.20745224
78,79,0.3345613
78,100,0.18505292
79,57,0.33432296
79,78,0.20786314
79,80,0.336216
79,101,0.12159791
80,58,0.3024279
80,79,0.22449973
80,81,0.27034816
80,102,0.20272425
81,59,0.2826773
81,80,0.28263143
81,82,0.17716539
81,103,0.25752586
82,60,0.24159949
82,81,0.30949238
82,83,0.18881333
82,104,0.26009485
83,61,0.26472268
83,82,0.23951842
83,84,0.23518592
83,105,0.260573
84,62,0.24102716
84,83,0.20707549
84,85,0.26516038
84,106,0.286737
85,63,0.20017023
85,84,0.1884955
85,86,0.29545808
85,107,0.31587622
86,64,0.24593563
86,85,0.2018338
86,87,0.27854815
86,108,0.27368242
87,65,0.29652983
87,86,0.33666325
87,109,0.36680698
88,66,0.29670152
88,89,0.29241693
88,110,0.41088155
89,67,0.20636721
89,88,0.20412926
89,90,0.29681423
89,111,0.29268932
90,68,0.16542086
90,89,0.19499627
90,91,0.25415006
90,112,0.38543284
91,69,0.23086078
91,90,0.26003894
91,92,0.22140533
91,113,0.2876949
92,70,0.14180715
92,91,0.22673336
92,93,0.32837772
92,114,0.30308175
93,71,0.2202732
93,92,0.18072975
93,94,0.3294341
93,115,0.26956296
94,72,0.3237209
94,93,0.2005861
94,95,0.2922906
94,116,0.18340243
95,73,0.39052638
95,94,0.2223898
95,96,0.17913634
95,117,0.20794745
96,74,0.34633344
96,95,0.2500992
96,97,0.20588177
96,118,0.19768564
97,75,0.34706968
97,96,0.16173844
97,98,0.23393174
97,119,0.25726014
98,76,0.28230867
98,97,0.22200635
98,99,0.25562963
98,120,0.24005534
99,77,0.2716957
99,98,0.21687259
99,100,0.25219554
99,121,0.25923622
100,78,0.32135075
100,99,0.20567113
100,101,0.17063725
100,122,0.3023408
101,79,0.3500421
101,100,0.19217773
101,102,0.30504298
101,123,0.15273723
102,80,0.3829688
102,101,0.13487591
102,103,0.34505177
102,124,0.13710351
103,81,0.2855901
103,102,0.21235566
103,104,0.23913068
103,125,0.26292348
104,82,0.19335361
104,103,0.2788954
104,105,0.20913224
104,126,0.31861877
105,83,0.19659849
105,104,0.2740592
105,106,0.2767837
105,127,0.2525586
106,84,0.20038825
106,105,0.22387142
106,107,0.33203545
106,128,0.2437049
107,85,0.19382113
107,106,0.21246342
107,108,0.257381
107,129,0.33633447
108,86,0.2268245
108,107,0.24187784
108,109,0.24523519
108,130,0.28606248
109,87,0.31527892
109,108,0.30104455
109,131,0.3836765
110,88,0.1974198
110,111,0.2747311
110,132,0.5278491
111,89,0.13806848
111,110,0.19062303
111,112,0.26679567
111,133,0.4045128
112,90,0.16714099
112,111,0.16362791
112,113,0.18694629
112,134,0.48228478
113,91,0.16642979
113,112,0.25071022
113,114,0.22869436
113,135,0.35416564
114,92,0.16867274
114,113,0.21944304
114,115,0.24783729
114,136,0.36404687
115,93,0.26615727
115,114,0.2415108
115,116,0.23806246
115,137,0.2542695
116,94,0.26859847
116,115,0.21529524
116,117,0.25105157
116,138,0.2650548
117,95,0.3190101
117,116,0.19672035
117,118,0.25177208
117,139,0.23249744
118,96,0.21141176
118,117,0.2453024
118,119,0.33581835
118,140,0.20746748
119,97,0.24500136
119,118,0.23732883
119,120,0.26710925
119,141,0.25056052
120,98,0.2187694
120,119,0.24133733
120,121,0.26226848
120,142,0.27762482
121,99,0.21875283
121,120,0.20479707
121,122,0.311629
121,143,0.26482108
122,100,0.23902158
122,121,0.24033298
122,123,0.1699025
122,144,0.35074294
123,101,0.19035973
123,122,0.33550662
123,124,0.2117737
123,145,0.26235992
124,102,0.2881288
124,123,0.1405388
124,125,0.36462283
124,146,0.20670962
125,103,0.30545086
125,124,0.12137653
125,126,0.34797904
125,147,0.22519358
126,104,0.22630295
126,125,0.24833426
126,127,0.20948465
126,148,0.31587815
127,105,0.21851642
127,126,0.32969102
127,128,0.24583197
127,149,0.20596059
128,106,0.20987673
128,127,0.1943937
128,129,0.33068648
128,150,0.2650431
129,107,0.21652094
129,128,0.15649825
129,130,0.25451145
129,151,0.37246937
130,108,0.19656047
130,129,0.25557956
130,131,0.24807508
130,152,0.2997849
131,109,0.27524304
131,130,0.3188673
131,153,0.4058897
132,110,0.21846686
132,133,0.46051413
132,154,0.321019
133,111,0.1213802
133,132,0.23397149
133,134,0.35951415
133,155,0.28513414
134,112,0.15059388
134,133,0.22942492
134,135,0.21303082
134,156,0.4069504
135,113,0.12558432
135,134,0.32424363
135,136,0.20745623
135,157,0.34271583
136,114,0.1865539
136,135,0.29391977
136,137,0.19345006
136,158,0.32607624
137,115,0.18703003
137,136,0.27454707
137,138,0.22895873
137,159,0.30946407
138,116,0.22029315
138,137,0.2346804
138,139,0.25648552
138,160,0.28854096
139,117,0.23999149
139,138,0.2448492
139,140,0.19849755
139,161,0.31666175
140,118,0.25336742
140,139,0.22821797
140,141,0.266917
140,162,0.25149757
141,119,0.27146673
141,140,0.16644862
141,142,0.30897078
141,163,0.25311384
142,120,0.23035511
142,141,0.22196674
142,143,0.3008816
142,164,0.24679661
143,121,0.22327276
143,142,0.2384637
143,144,0.31838262
143,165,0.21988095
144,122,0.2670524
144,143,0.22381562
144,145,0.20587453
144,166,0.3032574
145,123,0.13650854
145,144,0.27079424
