patch_id,neighbor_id
0,1
0,22
0,23
0,44
0,68
1,0
1,23
1,22
1,68
1,44
2,24
2,25
2,26
2,9
2,3
3,4
3,25
3,2
3,5
3,6
4,3
4,5
4,6
4,7
4,25
5,8
5,27
5,6
5,7
5,26
6,28
6,7
6,5
6,8
6,27
7,8
7,6
7,5
7,28
7,27
8,7
8,9
8,29
8,5
8,50
9,29
9,30
9,51
9,53
9,31
10,33
10,31
10,34
10,53
10,9
11,12
11,36
11,13
11,35
11,33
12,13
12,35
12,33
12,36
12,11
13,36
13,12
13,35
13,14
13,37
14,34
14,15
14,35
14,13
14,102
15,37
15,16
15,14
15,35
15,36
16,15
16,37
16,35
16,38
16,36
17,38
17,39
17,40
17,58
17,16
18,19
18,11
18,41
18,17
18,42
19,41
19,13
19,42
19,12
19,21
20,21
20,43
20,42
20,65
20,19
21,43
21,20
21,42
21,19
21,65
22,44
22,23
22,0
22,1
22,68
23,22
23,44
23,0
23,1
23,45
24,46
24,25
24,47
24,1
24,23
25,24
25,46
25,47
25,26
25,5
26,49
26,9
26,47
26,50
26,29
27,28
27,49
27,5
27,26
27,50
28,50
28,27
28,49
28,6
28,8
29,51
29,9
29,30
29,52
29,50
30,52
30,51
30,95
30,75
30,29
31,53
31,52
31,74
31,9
31,10
32,54
32,33
32,34
32,53
32,35
33,34
33,55
33,32
33,35
33,56
34,56
34,35
34,33
34,14
34,79
35,57
35,34
35,36
35,33
35,56
36,35
36,13
36,37
36,57
36,58
37,15
37,36
37,16
37,35
37,57
38,60
38,59
38,58
38,37
38,16
39,61
39,59
39,60
39,38
39,134
40,62
40,60
40,61
40,41
40,59
41,63
41,64
41,42
41,84
41,40
42,43
42,65
42,64
42,41
42,20
43,65
43,42
43,21
43,20
43,64
44,22
44,23
44,45
44,66
44,68
45,44
45,23
45,67
45,46
45,66
46,47
46,45
46,24
46,68
46,67
47,46
47,26
47,24
47,70
47,68
48,69
48,27
48,47
48,28
48,70
49,50
49,70
49,71
49,9
49,26
50,49
50,73
50,71
50,29
50,72
51,29
51,30
51,52
51,75
51,95
52,30
52,51
52,74
52,31
52,95
53,31
53,52
53,74
53,9
53,54
54,32
54,76
54,53
54,33
54,34
55,33
55,56
