dist_lo,dist_hi,dist_mid,coef,pval,ci_low,ci_high,n_obs
0,75,37.5,0.05598487488607879,0.02393264483434538,0.007394001263383944,0.10457574850877363,48132
75,150,112.5,0.022202329319979366,0.25763260766034113,-0.01623901238395428,0.06064367102391301,48132
150,225,187.5,0.03508441330542052,0.017157222887011887,0.0062321586398107615,0.06393666797103027,48132
225,300,262.5,0.040058689598295186,0.0008944804725852481,0.01642262709286249,0.06369475210372788,48132
300,375,337.5,0.039612246920587374,0.0007646768326603331,0.016541739903821646,0.0626827539373531,48132
375,450,412.5,0.045621042846918924,6.125811000023818e-06,0.025847578814943147,0.0653945068788947,48132
450,550,500.0,0.04024493756005595,1.0059843173212762e-07,0.025433828579487804,0.05505604654062409,48132
550,650,600.0,0.03918124537046475,5.260167808300377e-12,0.028049079045637495,0.05031341169529201,48132
650,800,725.0,0.03323513864298284,8.370339788724374e-13,0.02413099754511655,0.042339279740849126,43548
800,1100,950.0,0.03497915286181723,4.269687526827746e-09,0.023306530514055027,0.04665177520957943,27504
