permutation,coef
0,-0.01322751466866356
1,-0.012173960315607787
2,-0.012907584743276692
3,-0.022056201561240774
4,-0.019555397262829136
5,-0.024716815098757717
6,-0.017905578644600982
7,-0.02004068136504141
8,-0.016791900098505147
9,-0.014492207392077738
10,-0.02307644798742835
11,-0.007076329097470538
12,-0.023265066922628804
13,-0.013960241135114572
14,0.0008354628849037114
15,-0.01807969870200686
16,-0.01964480636739833
17,-0.019755807637910752
18,-0.025162709844315886
19,-0.01302124005545932
20,-0.009062720670990353
21,-0.016583358844909114
22,-0.010741595405974254
23,-0.010032497797508953
24,-0.022945246793437315
25,-0.01142768296808883
26,-0.020988777604162595
27,-0.01874720513181006
28,-0.01481895570897726
29,-0.00988435354319496
30,-0.02094106298507581
31,-0.01706131670463191
32,-0.024058038763472282
33,-0.013433096465743477
34,-0.013282940131093345
35,-0.01739879094803963
36,-0.016048933760291026
37,-0.01503245724187989
38,-0.016425950416483467
39,-0.021348790048119844
40,-0.0077468945482564375
41,-0.015509583135251616
42,-0.013919205284217785
43,-0.016534681456173147
44,-0.025178002737350533
45,-0.018844944637572386
46,-0.01602254942957798
47,-0.00903630416529155
48,-0.014694866379731369
49,-0.021168724762376558
50,-0.014940940311629482
51,-0.006113491783119545
52,-0.003273744287771583
53,-0.018137811541245538
54,-0.004310260951907129
55,-0.006385026191385399
56,-0.01786956196524428
57,-0.016527312257916038
58,-0.013154122497358485
59,-0.01648215464630666
60,-0.01930478931081084
61,-0.01766087342823422
62,-0.007972715989267503
63,-0.016483863914109467
64,-0.023272218575693504
65,-0.007600432549744511
66,-0.0032177447628776723
67,-0.010819409337986833
68,-0.004384277213279266
69,-0.016003377507061815
70,-0.02147078888005616
71,-0.003287544857905696
72,-0.008181733212451081
73,-0.010402872729105186
74,-0.008212021896313208
75,-0.013043620447532956
76,-0.022825513666244693
77,-0.02035821795894869
78,-0.0017452455342016199
79,-0.010335941078519727
80,-0.0150367374972665
81,-0.005513549787175248
82,-0.020612755437074276
83,-0.016237220947091666
84,-0.014827662702450235
85,-0.010707139841352
86,-0.01221189132708107
87,-0.02596926762706348
88,-0.022915145537596146
89,-0.019984979612116063
90,-0.012607131414895868
91,-0.011127324834612389
92,-0.010647394083910106
93,-0.01134690764195243
94,-0.009281778720309098
95,-0.009800389477311133
96,-0.02057186179451062
97,-0.009666195808225251
98,-0.01093953544232492
99,-0.00858291252513594
