model,neighbor_coef,neighbor_pval,n_obs
Original (no controls),0.08761568912861097,3.0225366655045935e-07,67232
+ precipitation,0.08654066848212677,3.9824782421641046e-07,67232
+ temperature,0.08586460092074585,4.99199648638104e-07,67232
+ soil moisture,0.08578635234328194,6.094398551757478e-07,67232
+ PDSI,0.08502405321172771,7.606406145375681e-07,67232
+ ENSO,0.07525923019024011,1.5158805528469587e-05,67232
+ VPD,0.056334137309027796,0.0014068244501052917,67232
+ wind,0.05563560071853942,0.0016256377535046249,67232
+ solar radiation,0.05460539450920119,0.001977114048239815,67232
+ RZSM,0.05329664559187783,0.0026078333862909683,67232
+ deltaT,0.05129695110657195,0.003262693530284632,67232
+ TWI,0.051302276869315724,0.0032601479101987733,67232
+ distance to disturbance,0.051299546031451385,0.0032621831870241463,67232
