horizon_months,model,test_rmse
1,1. Baseline,0.075943224132061
1,2. Fixed geographic GNN,0.14747586846351624
1,3. Adaptive/learned GNN,0.1013931855559349
1,4. Attention-based GNN,0.16070213913917542
3,1. Baseline,0.028405634686350822
3,2. Fixed geographic GNN,0.11962562799453735
3,3. Adaptive/learned GNN,0.1493111103773117
3,4. Attention-based GNN,0.10613270848989487
6,1. Baseline,0.03649742901325226
6,2. Fixed geographic GNN,0.2120315134525299
6,3. Adaptive/learned GNN,0.07693850994110107
6,4. Attention-based GNN,0.05115127190947533
