patch_id,learned_neighbor_id,weight
0,303,0.0030858966
0,184,0.0030803168
0,81,0.0030034876
1,247,0.0030856328
1,231,0.0030770714
1,198,0.0030556656
2,81,0.0032097823
2,102,0.0031394612
2,319,0.003103232
3,303,0.003058117
3,54,0.0030116346
3,180,0.003005962
4,287,0.003109179
4,134,0.0031043
4,317,0.0030395437
5,81,0.0033091465
5,184,0.0032003245
5,74,0.0031637982
6,37,0.003074502
6,150,0.0030693996
6,189,0.0030643602
7,339,0.0032024025
7,32,0.0030908845
7,318,0.0030845467
8,44,0.0030101708
8,206,0.0030036152
8,66,0.0029906074
9,331,0.0030585167
9,339,0.0030533315
9,274,0.0030321814
10,69,0.0030642524
10,349,0.0030465438
10,53,0.003032906
11,291,0.0031527488
11,267,0.0031106973
11,25,0.003106053
12,13,0.0030534996
12,257,0.0030260282
12,145,0.0030233026
13,287,0.0032374233
13,134,0.0031963852
13,32,0.003079165
14,331,0.003259075
14,125,0.0031548687
14,339,0.0031207583
15,160,0.0030928345
15,267,0.0030891995
15,340,0.003028102
16,160,0.0031320176
16,133,0.0030979905
16,5,0.0030589972
17,266,0.0031089226
17,206,0.0030958243
17,150,0.003078484
18,61,0.0029949315
18,18,0.0029918116
18,101,0.0029896642
19,145,0.003122228
19,284,0.0030950534
19,182,0.0030849841
20,339,0.0030653349
20,206,0.003049015
20,342,0.0030361295
21,53,0.0031009354
21,279,0.0030672513
21,125,0.0030601283
22,342,0.003094459
22,96,0.0030773543
22,140,0.0030259318
23,339,0.0031104265
23,330,0.0030472043
23,342,0.003006464
24,303,0.0030697098
24,233,0.0030467042
24,231,0.0030350464
25,32,0.0030293963
25,134,0.0030117137
25,198,0.0029939462
26,94,0.0030239013
26,44,0.00301657
26,157,0.003006122
27,303,0.0032214038
27,231,0.0031915572
27,128,0.0031408211
28,284,0.0030241897
28,322,0.0030236815
28,52,0.0030034208
29,184,0.003086419
29,263,0.0030810963
29,189,0.0030482172
30,81,0.003094706
30,10,0.002991047
30,331,0.0029828423
31,251,0.0031118402
31,183,0.0030756795
31,163,0.003070196
32,96,0.0030937747
32,342,0.0030526419
32,44,0.0030379249
33,204,0.0031403527
33,120,0.0030841897
33,301,0.0030776192
34,90,0.0031684847
34,247,0.003079905
34,291,0.0030697982
35,163,0.0030230966
35,184,0.0030014361
35,66,0.0029790583
36,176,0.0030760611
36,167,0.0030667505
36,149,0.0030441044
37,206,0.0032082568
37,267,0.0031567945
37,150,0.0030985354
38,0,0.003091352
38,291,0.0030705351
38,83,0.0030695351
39,44,0.003072566
39,337,0.0030018853
39,292,0.0029753034
40,339,0.003143907
40,331,0.003100523
40,274,0.003057212
41,212,0.0029662624
41,13,0.0029607809
41,39,0.0029541294
42,306,0.0029930728
42,160,0.0029888763
42,232,0.0029729505
43,198,0.0031664735
43,32,0.0031509455
43,125,0.0031198775
44,244,0.002973228
44,96,0.0029706776
44,226,0.0029677171
45,54,0.003061928
45,265,0.0030021735
45,298,0.0029981236
46,287,0.0031490335
46,67,0.0030592242
46,157,0.003051439
47,90,0.003200266
47,160,0.0031399075
47,212,0.0031026516
48,185,0.0030721144
48,212,0.003049493
48,76,0.0030315479
49,267,0.003190218
49,315,0.003155157
49,204,0.0030920764
50,229,0.0030067235
50,172,0.0029899722
50,249,0.0029752955
51,249,0.00310671
51,186,0.0030959523
51,287,0.003076595
52,246,0.0030863932
52,218,0.0030398013
52,125,0.0030302454
53,145,0.003099471
53,317,0.0030531883
53,212,0.0030334173
