patch_id,neighbor_id
0,18
0,1
1,19
1,0
1,2
2,20
2,1
2,3
3,21
3,2
3,4
4,22
4,3
4,5
5,23
5,4
5,6
6,24
6,5
6,7
7,25
7,6
7,8
8,26
8,7
8,9
9,27
9,8
9,10
10,28
10,9
10,11
11,29
11,10
11,12
12,30
12,11
12,13
13,31
13,12
13,14
14,32
14,13
14,15
15,33
15,14
15,16
16,34
16,15
16,17
17,35
17,16
18,0
18,36
18,19
19,1
19,37
19,18
19,20
20,2
20,38
20,19
20,21
21,3
21,39
21,20
21,22
22,4
22,40
22,21
22,23
23,5
23,41
23,22
23,24
24,6
24,42
24,23
24,25
25,7
25,43
25,24
25,26
26,8
26,44
26,25
26,27
27,9
27,45
27,26
27,28
28,10
28,46
28,27
28,29
29,11
29,47
29,28
29,30
30,12
30,48
30,29
30,31
31,13
31,49
31,30
31,32
32,14
32,50
32,31
32,33
33,15
33,51
33,32
33,34
34,16
34,52
34,33
34,35
35,17
35,53
35,34
36,18
36,54
36,37
37,19
37,55
37,36
37,38
38,20
38,56
38,37
38,39
39,21
39,57
39,38
39,40
40,22
40,58
40,39
40,41
41,23
41,59
41,40
41,42
42,24
42,60
42,41
42,43
43,25
43,61
43,42
43,44
44,26
44,62
44,43
44,45
45,27
45,63
45,44
45,46
46,28
46,64
46,45
46,47
47,29
47,65
47,46
47,48
48,30
48,66
48,47
48,49
49,31
49,67
49,48
49,50
50,32
50,68
50,49
50,51
51,33
51,69
51,50
51,52
52,34
52,70
52,51
52,53
53,35
53,71
53,52
54,36
54,72
54,55
55,37
55,73
55,54
55,56
56,38
56,74
56,55
56,57
57,39
57,75
57,56
57,58
58,40
58,76
58,57
58,59
59,41
59,77
59,58
59,60
60,42
60,78
60,59
60,61
61,43
61,79
61,60
61,62
62,44
62,80
62,61
62,63
63,45
63,81
63,62
63,64
64,46
64,82
64,63
64,65
65,47
65,83
65,64
65,66
66,48
66,84
66,65
66,67
67,49
67,85
67,66
67,68
68,50
68,86
68,67
68,69
69,51
69,87
69,68
69,70
70,52
70,88
70,69
70,71
71,53
71,89
71,70
72,54
72,90
72,73
73,55
73,91
73,72
73,74
74,56
74,92
74,73
74,75
75,57
75,93
75,74
75,76
76,58
76,94
76,75
76,77
77,59
77,95
77,76
77,78
78,60
78,96
78,77
78,79
79,61
79,97
79,78
79,80
80,62
80,98
80,79
80,81
81,63
81,99
81,80
81,82
82,64
82,100
82,81
82,83
83,65
83,101
83,82
83,84
84,66
84,102
84,83
84,85
85,67
85,103
85,84
85,86
86,68
86,104
86,85
86,87
87,69
87,105
87,86
87,88
88,70
88,106
88,87
88,89
89,71
89,107
89,88
90,72
90,108
90,91
91,73
91,109
91,90
91,92
92,74
92,110
92,91
92,93
93,75
93,111
93,92
93,94
94,76
94,112
94,93
94,95
95,77
95,113
95,94
95,96
96,78
96,114
96,95
96,97
97,79
97,115
97,96
97,98
98,80
98,116
98,97
98,99
99,81
99,117
99,98
99,100
100,82
100,118
100,99
100,101
101,83
101,119
101,100
101,102
102,84
102,120
102,101
102,103
103,85
103,121
103,102
103,104
104,86
104,122
104,103
104,105
105,87
105,123
105,104
105,106
106,88
106,124
106,105
106,107
107,89
107,125
107,106
108,90
108,126
108,109
109,91
109,127
109,108
109,110
110,92
110,128
110,109
110,111
111,93
111,129
111,110
111,112
112,94
112,130
112,111
112,113
113,95
113,131
113,112
113,114
114,96
114,132
114,113
114,115
115,97
115,133
115,114
115,116
116,98
116,134
116,115
116,117
117,99
117,135
117,116
117,118
118,100
118,136
118,117
118,119
119,101
119,137
119,118
119,120
120,102
120,138
120,119
120,121
121,103
121,139
121,120
121,122
122,104
122,140
122,121
122,123
123,105
123,141
123,122
123,124
124,106
124,142
124,123
124,125
125,107
125,143
125,124
126,108
126,144
126,127
127,109
127,145
127,126
127,128
128,110
128,146
128,127
128,129
129,111
129,147
129,128
129,130
130,112
130,148
130,129
130,131
131,113
131,149
131,130
131,132
132,114
132,150
132,131
132,133
133,115
133,151
133,132
133,134
134,116
134,152
134,133
134,135
135,117
135,153
135,134
135,136
136,118
136,154
136,135
136,137
137,119
137,155
137,136
137,138
138,120
138,156
138,137
138,139
139,121
139,157
139,138
139,140
140,122
140,158
140,139
140,141
141,123
141,159
141,140
141,142
142,124
142,160
142,141
142,143
143,125
143,161
143,142
144,126
144,162
144,145
145,127
145,163
145,144
145,146
146,128
146,164
146,145
146,147
147,129
147,165
147,146
147,148
148,130
148,166
148,147
148,149
149,131
149,167
149,148
149,150
150,132
150,168
150,149
150,151
151,133
151,169
151,150
151,152
152,134
152,170
152,151
152,153
153,135
153,171
153,152
153,154
154,136
154,172
154,153
154,155
155,137
155,173
155,154
155,156
156,138
156,174
156,155
156,157
157,139
157,175
157,156
157,158
158,140
158,176
158,157
158,159
159,141
159,177
159,158
159,160
160,142
160,178
160,159
160,161
161,143
161,179
161,160
162,144
162,180
162,163
163,145
163,181
163,162
163,164
164,146
164,182
164,163
164,165
165,147
165,183
165,164
165,166
166,148
166,184
166,165
166,167
167,149
167,185
167,166
167,168
168,150
168,186
168,167
168,169
169,151
169,187
169,168
169,170
170,152
170,188
170,169
170,171
171,153
171,189
171,170
171,172
172,154
172,190
172,171
172,173
173,155
173,191
173,172
173,174
174,156
174,192
174,173
174,175
175,157
175,193
175,174
175,176
176,158
176,194
176,175
176,177
177,159
177,195
177,176
177,178
178,160
178,196
178,177
178,179
179,161
179,197
179,178
180,162
180,198
180,181
181,163
181,199
181,180
181,182
182,164
182,200
182,181
182,183
183,165
183,201
183,182
183,184
184,166
184,202
184,183
184,185
185,167
185,203
185,184
185,186
186,168
186,204
186,185
186,187
187,169
187,205
187,186
187,188
188,170
188,206
188,187
188,189
189,171
189,207
189,188
189,190
190,172
190,208
190,189
190,191
191,173
191,209
191,190
191,192
192,174
192,210
192,191
192,193
193,175
193,211
193,192
193,194
194,176
194,212
194,193
194,195
195,177
195,213
195,194
195,196
196,178
196,214
196,195
196,197
197,179
197,215
197,196
198,180
198,216
198,199
199,181
199,217
199,198
199,200
200,182
200,218
200,199
200,201
201,183
201,219
201,200
201,202
202,184
202,220
202,201
202,203
203,185
203,221
203,202
203,204
204,186
204,222
204,203
204,205
205,187
205,223
205,204
205,206
206,188
206,224
206,205
206,207
207,189
207,225
207,206
207,208
208,190
208,226
208,207
208,209
209,191
209,227
209,208
209,210
210,192
210,228
210,209
210,211
211,193
211,229
211,210
211,212
212,194
212,230
212,211
212,213
213,195
213,231
213,212
213,214
214,196
214,232
214,213
214,215
215,197
215,233
215,214
216,198
216,234
216,217
217,199
217,235
217,216
217,218
218,200
218,236
218,217
218,219
219,201
219,237
219,218
219,220
220,202
220,238
220,219
220,221
221,203
221,239
221,220
221,222
222,204
222,240
222,221
222,223
223,205
223,241
223,222
223,224
224,206
224,242
224,223
224,225
225,207
225,243
225,224
225,226
226,208
226,244
226,225
226,227
227,209
227,245
227,226
227,228
228,210
228,246
228,227
228,229
229,211
229,247
229,228
229,230
230,212
230,248
230,229
230,231
231,213
231,249
231,230
231,232
232,214
232,250
232,231
232,233
233,215
233,251
233,232
234,216
234,235
235,217
235,234
235,236
236,218
236,235
236,237
237,219
237,236
237,238
238,220
238,237
238,239
239,221
239,238
239,240
240,222
240,239
240,241
241,223
241,240
241,242
242,224
242,241
242,243
243,225
243,242
243,244
244,226
244,243
244,245
245,227
245,244
245,246
246,228
246,245
246,247
247,229
247,246
247,248
248,230
248,247
248,249
249,231
249,248
249,250
250,232
250,249
250,251
251,233
251,250
