window_months,lag_months,dist_lo,dist_hi,dist_mid,coef,pval,ci_low,ci_high,n_obs
24,1,75,150,112.5,0.0116163579614461,3.6739608282078375e-05,0.0060997131401569,0.0171330027827353,59136
24,1,150,225,187.5,0.0079326587650132,0.0002916284085971,0.0036408192005913,0.0122244983294351,59136
24,1,225,300,262.5,0.0082059726430851,0.0001802840504854,0.0039115120684183,0.0125004332177518,59136
24,1,300,375,337.5,0.0071155284534817,0.0010548985783076,0.0028577517479432,0.0113733051590202,59136
24,1,375,450,412.5,0.0085334225862273,0.0014078032038538,0.0032954151137925,0.013771430058662,59136
24,1,450,550,500.0,0.0078401243054614,0.0046186572980637,0.0024150937384118,0.0132651548725111,59136
24,1,550,650,600.0,0.0056436668963351,0.0477659793442099,5.5541691880385546e-05,0.01123179210079,59136
24,1,650,800,725.0,0.0035390422301121,0.2473388646431142,-0.0024569571051213,0.0095350415653456,59136
24,1,800,1100,950.0,-0.0009795236756765,0.7611745592124224,-0.0072960304048728,0.0053369830535198,59136
24,2,75,150,112.5,0.0152271127392894,0.0054301020918148,0.0044929834678455,0.0259612420107333,58784
24,2,150,225,187.5,0.0068951816279417,0.1172719361695846,-0.001732839364378,0.0155232026202615,58784
24,2,225,300,262.5,0.0077400522592309,0.0815272198755184,-0.0009689937013006,0.0164490982197625,58784
24,2,300,375,337.5,0.0045186695358184,0.3040695681606135,-0.0040986678498344,0.0131360069214714,58784
24,2,375,450,412.5,0.0067338199212916,0.2146008241120283,-0.0039010735089164,0.0173687133514996,58784
24,2,450,550,500.0,0.006466440683961,0.2510136447327779,-0.0045746712392427,0.0175075526071648,58784
24,2,550,650,600.0,0.0019759916607353,0.7280229331308001,-0.0091607393404821,0.0131127226619529,58784
24,2,650,800,725.0,-0.0036800151454963,0.5535186125608781,-0.0158534293491647,0.008493399058172,58784
24,2,800,1100,950.0,-0.00953093075524,0.1277394747126974,-0.021795762150425,0.0027339006399449,58784
24,3,75,150,112.5,0.0121961654822118,0.1307086836990921,-0.0036205730967427,0.0280129040611663,58432
24,3,150,225,187.5,-0.0008352843501143,0.8985089459525977,-0.0136709533878921,0.0120003846876634,58432
24,3,225,300,262.5,0.0011167786615585,0.866005768981353,-0.0118553800154348,0.014088937338552,58432
24,3,300,375,337.5,-0.0042096156743165,0.5216651128479509,-0.0170856181799342,0.008666386831301,58432
24,3,375,450,412.5,-0.0015642288845285,0.8446374144041655,-0.0172090090838187,0.0140805513147617,58432
24,3,450,550,500.0,-0.0005427346323264,0.9480191057740974,-0.0168591359769691,0.0157736667123162,58432
24,3,550,650,600.0,-0.0064445468815925,0.4427693444233661,-0.0229014405001873,0.0100123467370021,58432
24,3,650,800,725.0,-0.0149288296743114,0.108508819588525,-0.0331601145965828,0.0033024552479598,58432
24,3,800,1100,950.0,-0.0211922636319183,0.0217506165559576,-0.039293177121686,-0.0030913501421506,58432
24,6,75,150,112.5,0.0091789444184103,0.545520428953477,-0.0205825289133113,0.038940417750132,57376
24,6,150,225,187.5,-0.0170148877786751,0.1580432148929264,-0.040638150741543,0.0066083751841928,57376
24,6,225,300,262.5,-0.0142687147657056,0.2393780526911147,-0.0380384984167606,0.0095010688853493,57376
24,6,300,375,337.5,-0.0232610237510128,0.0604513182938368,-0.0475438860598779,0.0010218385578522,57376
24,6,375,450,412.5,-0.0184558771264163,0.2149034444465151,-0.0476229578293403,0.0107112035765076,57376
24,6,450,550,500.0,-0.0125643915624567,0.4156102452048766,-0.0428149103254669,0.0176861272005535,57376
24,6,550,650,600.0,-0.0193632012267292,0.223599507394514,-0.0505470887524518,0.0118206862989933,57376
24,6,650,800,725.0,-0.0321675381409022,0.0567177763992886,-0.0652548623152497,0.0009197860334451,57376
24,6,800,1100,950.0,-0.0367896695578147,0.0298920669230111,-0.0699952151957383,-0.0035841239198911,57376
36,1,75,150,112.5,0.007576987057031623,0.0004931935340565872,0.003314987783682434,0.011838986330380812,54912
36,1,150,225,187.5,0.005309218506992813,0.002547895667268852,0.0018608171469822938,0.008757619867003333,54912
36,1,225,300,262.5,0.0050909099535040025,0.007233942107297832,0.0013759240712194,0.008805895835788606,54912
36,1,300,375,337.5,0.004623445406883531,0.012394745917810226,0.0009997482067885992,0.008247142606978463,54912
36,1,375,450,412.5,0.0043160216913051275,0.040473848820432215,0.00018730404968054018,0.008444739332929715,54912
36,1,450,550,500.0,0.002762586006024262,0.220436993629195,-0.001656146747447895,0.007181318759496419,54912
36,1,550,650,600.0,-8.245672245936475e-05,0.9730053525728288,-0.004858339765828743,0.0046934263209100135,54912
36,1,650,800,725.0,-0.0029126475900278226,0.28063581272477045,-0.00820389419339149,0.002378599013335846,54912
36,1,800,1100,950.0,-0.008092918457119916,0.002884915243635989,-0.013416141152851509,-0.002769695761388324,54912
36,2,75,150,112.5,0.013499476931271327,0.001688155361797705,0.005073822464645069,0.021925131397897583,54560
36,2,150,225,187.5,0.00859510355073019,0.014835169033288152,0.0016807032553001972,0.015509503846160184,54560
36,2,225,300,262.5,0.008003379832821365,0.03372090700643996,0.0006159890355938438,0.015390770630048886,54560
36,2,300,375,337.5,0.007027574979260848,0.05542274800396878,-0.00016295179036653583,0.014218101748888231,54560
36,2,375,450,412.5,0.006096849994583514,0.14649722623286882,-0.0021328172226947485,0.014326517211861777,54560
36,2,450,550,500.0,0.0031538797023279025,0.4791831000280754,-0.005581764248422433,0.011889523653078238,54560
36,2,550,650,600.0,-0.002214536103227527,0.6456805022701566,-0.01165490904452648,0.007225836838071426,54560
36,2,650,800,725.0,-0.009438680920094818,0.08235564883784668,-0.02008783037060763,0.0012104685304179918,54560
36,2,800,1100,950.0,-0.01800667523802774,0.0006153104090255582,-0.028311714955727506,-0.007701635520327972,54560
36,3,75,150,112.5,0.017750011717495115,0.005574553902644351,0.005198869377613534,0.030301154057376697,54208
36,3,150,225,187.5,0.010143747872018598,0.0572050949831665,-0.0003105601830253619,0.020598055927062556,54208
36,3,225,300,262.5,0.009184064865623051,0.10146630256265583,-0.0018066471296178215,0.020174776860863924,54208
36,3,300,375,337.5,0.00783132886444289,0.14890092522672116,-0.0028024954013277127,0.018465153130213494,54208
36,3,375,450,412.5,0.006711802953914547,0.27848201302465525,-0.005426666197873301,0.018850272105702396,54208
36,3,450,550,500.0,0.002601680870458409,0.6900715930697263,-0.010186029857918135,0.015389391598834953,54208
36,3,550,650,600.0,-0.004366248871775474,0.5353054408566211,-0.018170587094321275,0.009438089350770324,54208
36,3,650,800,725.0,-0.015564891964476042,0.05177692238703812,-0.031249663698210507,0.00011987976925842414,54208
36,3,800,1100,950.0,-0.027461796466329593,0.00034868733677222646,-0.042512642659356614,-0.012410950273302574,54208
36,6,75,150,112.5,0.03150745669846575,0.010678663367154964,0.007319260195744418,0.05569565320118708,53152
36,6,150,225,187.5,0.01587831359750421,0.13146720764222236,-0.004754233925113944,0.03651086112012236,53152
36,6,225,300,262.5,0.01223956523951597,0.25339836999514753,-0.008764195566720253,0.0332433260457522,53152
36,6,300,375,337.5,0.01149246959430561,0.26684467885552876,-0.008793619492831535,0.031778558681442755,53152
36,6,375,450,412.5,0.012033131589053725,0.304799571221846,-0.01094934186145538,0.03501560503956283,53152
36,6,450,550,500.0,0.007839215276414457,0.522977382068516,-0.01621444662418366,0.03189287717701257,53152
36,6,550,650,600.0,0.000988170986834666,0.938547329297721,-0.024133552775384984,0.026109894749054317,53152
36,6,650,800,725.0,-0.01752763800413451,0.2278815995214798,-0.04601708709653467,0.010961811088265643,53152
36,6,800,1100,950.0,-0.03520108949789276,0.012951137630019992,-0.06296358900563666,-0.007438589990148865,53152
48,1,75,150,112.5,0.004556810650783505,0.015391755257348356,0.0008708499182228592,0.008242771383344151,50688
48,1,150,225,187.5,0.0033908844715658387,0.031978384353806816,0.0002920495665635157,0.006489719376568162,50688
48,1,225,300,262.5,0.0030760537821023365,0.05236662870839482,-3.148261883453981e-05,0.006183590183039213,50688
48,1,300,375,337.5,0.002628638571780445,0.08757634282934147,-0.00038720537462641567,0.005644482518187306,50688
48,1,375,450,412.5,0.0025872127012170343,0.13659927022209684,-0.0008192955940094604,0.005993720996443529,50688
48,1,450,550,500.0,0.0012333204887754745,0.5100340102283669,-0.002435956599834587,0.004902597577385536,50688
48,1,550,650,600.0,6.243669669198093e-07,0.9997405468247661,-0.003762677646297583,0.0037639263802314226,50688
48,1,650,800,725.0,-0.0011057442672145895,0.6208471607382064,-0.0054870617387884815,0.0032755732043593024,50688
48,1,800,1100,950.0,-0.006867093141128475,0.006528747604928481,-0.011815399972576125,-0.0019187863096808248,50688
48,2,75,150,112.5,0.008752001268350754,0.018054656435283936,0.0014973421966817816,0.016006660340019727,50336
48,2,150,225,187.5,0.005825020887118351,0.06397734497442664,-0.0003384508889258406,0.011988492663162542,50336
48,2,225,300,262.5,0.004910149598881239,0.11592932891796272,-0.0012114510064126643,0.011031750204175142,50336
48,2,300,375,337.5,0.0038511752797161236,0.204745779287684,-0.0021009502793467175,0.009803300838778964,50336
48,2,375,450,412.5,0.003908221009321644,0.2595370951778284,-0.0028856310163502498,0.010702073034993539,50336
48,2,450,550,500.0,0.0011776777433659125,0.7555817364581516,-0.0062373412256774416,0.008592696712409267,50336
48,2,550,650,600.0,-0.0022429275125011028,0.5657283633070215,-0.00989684504614568,0.005410990021143475,50336
48,2,650,800,725.0,-0.0064095160534777575,0.15782795164866503,-0.015303803593522491,0.002484771486566976,50336
48,2,800,1100,950.0,-0.020573616630131075,5.6987890883163534e-05,-0.030592018600137858,-0.010555214660124292,50336
48,3,75,150,112.5,0.012867825350019013,0.020585501177589557,0.001975811689402583,0.023759839010635442,49984
48,3,150,225,187.5,0.007888063969965844,0.09397020389221565,-0.0013429888450442375,0.017119116784975928,49984
48,3,225,300,262.5,0.006222907778930489,0.17931767160660694,-0.0028597108461160224,0.015305526403977001,49984
48,3,300,375,337.5,0.004602166549021458,0.30939971430783464,-0.00427165212045757,0.013475985218500486,49984
48,3,375,450,412.5,0.0048243710897477865,0.3511907599859557,-0.005318045743193037,0.01496678792268861,49984
48,3,450,550,500.0,0.0006628270838630601,0.9064860487816316,-0.010396127035448843,0.011721781203174964,49984
48,3,550,650,600.0,-0.0051693610654992145,0.3736028695199024,-0.016556626465761157,0.006217904334762726,49984
48,3,650,800,725.0,-0.012447705783876991,0.06509014338054905,-0.025673633302324368,0.0007782217345703862,49984
48,3,800,1100,950.0,-0.0358235260510153,2.96530518385341e-06,-0.05084806891988372,-0.02079898318214687,49984
48,6,75,150,112.5,0.027538103912267062,0.012059603478478419,0.006038028151547456,0.04903817967298667,48928
48,6,150,225,187.5,0.015142419162388746,0.09671186552939878,-0.0027254047538564745,0.03301024307863397,48928
48,6,225,300,262.5,0.009216742116099505,0.29592507124056355,-0.008066340476424457,0.026499824708623467,48928
48,6,300,375,337.5,0.0059626272962191584,0.4936271181073486,-0.011109190479922912,0.02303444507236123,48928
48,6,375,450,412.5,0.008117570318473766,0.410589546861455,-0.011217688722234956,0.027452829359182487,48928
48,6,450,550,500.0,0.0009282186137120063,0.9311702276974599,-0.02013488538733193,0.02199132261475594,48928
48,6,550,650,600.0,-0.01185331126680464,0.28147745670981705,-0.0334242746378293,0.009717652104220022,48928
48,6,650,800,725.0,-0.026212806088028145,0.03425862207008478,-0.050481018355463335,-0.001944593820592956,48928
48,6,800,1100,950.0,-0.0737803816330857,1.2354931807177964e-07,-0.10112576194153439,-0.04643500132463701,48928
